省份,指标,2017C,2017D,2018A,2018B,2018C,2018D,2019A,2019B,2019C,2019D,2020A
广西壮族自治区,居民人均可支配收入_累计值,4741.794254,5233.71113,5921,4797,5097,5670,6420.980332,5215.383818,5532.7106,6159.13662,6560.933148
广西壮族自治区,城镇居民人均可支配收入_累计值,7769.31476,7688.70513,8838,7130,8216,8252,9454.539092,7663.720788,8793.98027,8832.62679,9515.282439
广西壮族自治区,农村居民人均可支配收入_累计值,2324.297284,3156.113438,3543,2895,2556,3441,3891.095806,3173.556347,2812.974968,3798.106329,4071.899053
广西壮族自治区,居民人均消费支出_累计值,3144.628605,3790.085186,3675,3493,3351,4415.75212,4153.768407,3525.778704,3912.607299,4826.14605,3845.664947
广西壮族自治区,城镇居民人均消费支出_累计值,4638.291222,4686.22971,4852.072262,5018.927738,4722,5566.38861,5554.243664,4878.428896,5385.85193,5772.4141,4906.306275
广西壮族自治区,农村居民人均消费支出_累计值,1951.928231,3020.009694,2715,2249,2233,3419.95949,2985.819816,2397.715613,2683.996632,3977.440759,2952.076488
海南省,居民人均可支配收入_累计值,5229.86057,5728.79342,6531,6163,5684,6201,7105.34693,6691.08673,6172.02193,6711.02205,7093.646025
海南省,城镇居民人均可支配收入_累计值,7477.81126,7931.58992,8878,7902,8057,8512,9621.434083,8602.200447,8659.00434,9134.06063,9650.320611
海南省,农村居民人均可支配收入_累计值,2662.053582,3001.149853,3758,4110,2882,3239,4057.218009,4375.801189,3158.906312,3521.22212,3964.282295
海南省,居民人均消费支出_累计值,3644.875289,4070.91863,4591,4115,3984,4838.44333,4935.606546,4360.232393,4698.332281,5560.68192,4625.785689
海南省,城镇居民人均消费支出_累计值,4991.02054,5251.86424,6017.876023,5474.123977,5300,6179.21104,6383.018504,5780.854076,6159.85268,6992.93894,5839.246601
海南省,农村居民人均消费支出_累计值,2107.190436,2594.817712,2905,2509,2432,3109.7713,3182.130622,2639.175853,2927.611896,3668.586079,3140.512364
重庆市,居民人均可支配收入_累计值,5952.06166,5685.64099,7657,6033,6490,6206,8368.24166,6621.51023,7108.92406,6821.73606,8481.803513
重庆市,城镇居民人均可支配收入_累计值,7921.0555,7358.83723,10196,8163,8566,7964,11067.78037,8895.11107,9289.18495,8686.51468,11158.16997
重庆市,农村居民人均可支配收入_累计值,3184.004557,3121.658007,3979,2918,3470,3414,4334.7546,3193.426986,3837.705424,3767.37841,4423.308018
重庆市,居民人均消费支出_累计值,4059.419291,5183.46857,5263,4143,4338,5504.46887,5638.064006,4625.386594,4639.12374,5871.29898,5114.749717
重庆市,城镇居民人均消费支出_累计值,5288.79468,6026.37194,6838.70398,5356.29602,5621,6338.15416,7203.769201,5952.186499,5848.65515,6780.85174,6321.393976
重庆市,农村居民人均消费支出_累计值,2331.135395,3870.467213,2979,2369,2473,4155.81499,3298.682236,2624.928299,2824.367468,4364.091827,3284.970285
四川省,居民人均可支配收入_累计值,4734.68743,5381.68057,6169,5261,5191,5840,6751.904625,5794.872875,5699.51473,6456.85724,6944.906402
四川省,城镇居民人均可支配收入_累计值,7353.878,7871.07736,9022,7761,7973,8460,9782.018143,8468.414937,8635.54647,9267.75252,9897.642524
四川省,农村居民人均可支配收入_累计值,2626.928192,3191.286111,3801,3187,2882,3461,4156.017238,3504.459277,3184.401385,3825.21311,4376.868843
