指标,202004,202003,202002,202001,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902,201901,201812,201811,201810,201809,201808,201807,201806,201805,201804,201803,201802,201801,201712,201711,201710,201709,201708,201707,201706,201705
日用品类商品零售类值_同比增长,8.3,0.3,0,0,13.9,17.5,12,12,13,13,12.3,11.4,12.6,16.6,0,0,16.8,16,10.2,17.4,15.8,11.3,15.8,10.3,12,16.9,0,0,5.4,7.9,7.4,7.8,7,7.1,11.2,8.7
日用品类商品零售类值_累计增长,-1.2,-4.2,-6.6,0,13.9,13.9,13.4,13.6,13.8,13.9,14.1,14.5,15.3,16.1,15.9,0,13.69917168,13.4,13,13.4,12.8,12.4,12.6,11.8,12.2,12.3,10.1,0,8,8.2,8.3,8.4,8.5,8.7,9,8.5
体育、娱乐用品类商品零售类值_当期值,55.7,50.1,0,0,72.4,82.9,56,59.5,54.6,52.7,65.4,49.9,49.7,53.3,0,0,65.63267,73.7,54.2,55.1,52.5,52.1,65.4,48,52,56.4,0,0,74.9,83.3,65.4,64.5,56,60.1,72.6,56.7
体育、娱乐用品类商品零售类值_累计值,203,143.3,91.2,0,693.5,620.1,537.6,481.4,420.2,364.7,313.6,247.8,200.4,151.5,97.5,0,684.31989,620.6,546.8,493.3,438.8,387.6,329.3,257.5,212.4,162.8,106.6,0,743.1,678,602.9,538.2,471.4,416.2,355.9,283.5
体育、娱乐用品类商品零售类值_同比增长,11.6,-7.1,0,0,22.6,20.1,11.5,15.7,12.1,8.8,7.2,5.9,-3.6,-0.9,0,0,-7,-3.2,-8.5,-1.5,-1.5,-8.2,-4.2,-5.1,6.6,12.3,0,0,2.2,15.4,19.6,13.1,14.9,26.6,29.1,11.4
体育、娱乐用品类商品零售类值_累计增长,-0.9,-5.1,-4,0,8,6.6,4.7,4,2.6,1.3,0.1,-1.6,-3.3,-3.2,-4.4,0,-2.717213887,-2.2,-2.1,-1.3,-1.3,-1.3,-0.1,1,2.6,1.3,-3.6,0,15.6,17.3,17.6,17.4,18,18.4,17.1,14.4
书报杂志类商品零售类值_当期值,89.2,133,0,0,179.8,159.3,101.2,149.3,77.7,71.8,131.6,97.1,99.8,126.9,0,0,154.99277,147.5,94.4,137,71.2,69.4,134.3,89.3,81.8,119.1,0,0,152.1,138,97.9,119.6,65.5,62.6,107.4,85
书报杂志类商品零售类值_累计值,317.8,228.2,94,0,1333.1,1153.3,997.8,897,747.2,669.8,598.7,466.9,368.8,267.2,139.8,0,1206.8491,1052.6,904.5,807.3,673.4,601.7,531.4,399,309.7,228.1,110.1,0,1156.7,1009,869.9,772.2,651.4,585.4,524,415.2
书报杂志类商品零售类值_同比增长,-11.5,3.6,0,0,16.1,7.4,5.2,6.6,9,2.9,-0.8,11.1,24.6,9.6,0,0,13.7,21.6,7.4,21.6,11.7,18.4,35.8,11.1,-3.2,9.7,0,0,8.3,2.9,6.5,12.3,4.6,-3,12.3,0.1
书报杂志类商品零售类值_累计增长,-14.3,-15.3,-32.7,0,11.1,10.4,10.9,11.5,12.6,13,14.4,19.6,22,21.1,33.9,0,12.07182128,11.8,10.4,10.7,8.7,8.4,7.2,-0.1,-3.1,-3,-13.3,0,7,6.8,7.5,7.6,6.8,7.1,8.4,7.4
家用电器和音像器材类商品零售类值_当期值,606.8,569.4,0,0,929.9,1013.7,678.1,730,686.6,713.4,963.1,729.3,682.9,820.5,0,0,936.43229,945.8,711.4,721.7,682.1,715.9,919.2,713.4,687.6,746.1,0,0,1011.7,971.8,815.8,815.5,759.9,823.9,948.9,773.7
家用电器和音像器材类商品零售类值_累计值,2001.8,1389.4,805.2,0,9138.7,8205.9,7194.9,6516.8,5783.3,5112.6,4392.2,3448.2,2712.6,2028.4,1211,0,8863.04393,7964.6,7019.8,6307.2,5614.2,4965.1,4282.5,3366.8,2655.2,1972.3,1239.2,0,9453.9,8581,7651.5,6861.2,6069.8,5307.4,4482.5,3529.1
家用电器和音像器材类商品零售类值_同比增长,-8.5,-29.7,0,0,2.7,9.7,0.7,5.4,4.2,3,7.7,5.8,3.2,15.2,0,0,13.9,12.5,4.8,5.7,4.8,0.6,14.3,7.6,6.7,15.4,0,0,8.7,8.4,5.4,6.8,8.4,13.1,13.3,13.6
家用电器和音像器材类商品零售类值_累计增长,-24.5,-29.9,-30,0,5.6,5.9,5.4,5.9,5.9,6.2,6.7,6.4,6.6,7.8,3.3,0,8.897485763,8.3,7.8,8.2,8.5,9,10.6,9.6,10.1,11.4,9.2,0,9.3,9.4,9.5,10.1,10.5,10.8,10.4,9.6
中西药品类商品零售类值_当期值,433.3,448.1,0,0,581.5,522.9,484.2,522.2,476.3,485.3,511.6,495.5,492.7,502.2,0,0,574.10022,532.3,480.1,513.5,463.2,452.8,484.4,463.5,459,470.9,0,0,973,886,774.7,891.8,792.4,744.6,822.8,770
中西药品类商品零售类值_累计值,1644.1,1207.9,781.1,0,5907.1,5324.5,4801.1,4315.8,3810.7,3423.6,2937.4,2430.9,1930.1,1440.3,930,0,5593.01409,5090.5,4555.2,4109.3,3612.9,3171.6,2731.5,2255.5,1813.9,1362.6,890.9,0,9481.5,8557.6,7707.9,6951.5,6051.7,5249.9,4506.3,3664.9
中西药品类商品零售类值_同比增长,8.6,8,0,0,8.2,4.9,5.1,6.6,7.7,11.6,10.4,11.2,11.5,11.8,0,0,10.6,9.3,11.5,8.9,7.4,9.9,8.5,8,8.2,10.9,0,0,13.5,11,11.9,14.6,11.4,13,13.6,14
